words,freq
of the,197062
in the,174364
to the,108945
on the,73569
to be,71331
and the,67795
for the,65863
and i,61308
it was,59271
with the,57090
it is,56005
i have,54932
at the,54490
i was,54313
i am,50361
from the,47503
is a,46809
in a,45318
but i,41745
of a,40380
this is,38755
that i,37661
for a,37617
with a,36888
one of,35208
you can,34871
as a,34288
have to,34269
that the,33915
is the,33132
will be,32678
by the,32342
if you,31700
i dont,29736
going to,29724
when i,29390
so i,29249
and a,28326
a little,27544
i think,27215
a few,26914
the same,26860
was a,26472
of my,26354
out of,25883
to make,25326
to get,25159
to do,25030
on a,24535
is not,24519
have a,24434
i had,24084
the first,23787
about the,23698
there is,23364
the world,22259
i will,22056
in my,21999
would be,21819
be a,21735
all the,21731
there are,21708
you have,21661
have been,21651
need to,21480
all of,21242
want to,21222
a lot,20892
we are,20253
he was,19714
to a,19684
of this,19574
they are,19360
and then,18979
to have,18830
to see,18321
i can,18048
like a,18022
over the,17993
into the,17664
can be,17657
is that,17634
in this,17317
has been,17315
had a,17206
not a,17148
if i,17110
was the,16902
the other,16800
a bit,16758
i would,16705
the time,16690
you are,16519
as the,16501
that is,16336
to go,15992
through the,15920
and we,15700
and it,15657
at least,15396
i love,15193
we have,15027
the best,14883
a new,14795
you know,14590
for me,14391
but the,14383
out the,14294
as i,14081
lot of,14034
part of,13972
i got,13885
kind of,13828
that it,13556
a good,13450
some of,13385
and its,13356
get a,13348
on my,13327
she was,13318
able to,13314
way to,13247
i cant,13179
by a,13053
the end,12991
what i,12971
im not,12782
that you,12754
when the,12721
of his,12645
do you,12561
time to,12442
that he,12421
trying to,12355
as well,12307
the way,12295
there was,12181
of course,12034
but it,12025
i know,11985
more than,11979
they were,11912
the most,11901
to my,11779
for my,11776
to say,11762
a great,11729
to take,11626
like the,11598
up and,11484
on this,11433
because i,11432
i just,11345
the day,11334
me to,11173
to know,11021
of their,11004
and my,10904
know that,10885
with my,10640
i didnt,10603
based on,10426
and that,10353
it and,10346
that they,10319
of them,10316
it for,10282
i did,10214
i could,10202
i want,10150
between the,9988
have the,9987
as it,9978
the new,9913
that was,9885
we can,9812
the last,9794
i feel,9756
used to,9752
would have,9717
which is,9623
just a,9596
make a,9566
a very,9536
its a,9524
of her,9489
there were,9470
he is,9340
see the,9339
in that,9255
enough to,9214
it would,9141
do not,9101
now i,9045
i do,8889
and to,8854
dont know,8823
it has,8797
most of,8717
and he,8690
because of,8654
the whole,8653
may be,8605
of our,8550
go to,8513
to use,8496
went to,8493
that we,8483
of it,8481
i decided,8455
you will,8444
time i,8423
to start,8420
in their,8419
that my,8415
what is,8411
to me,8394
and more,8366
ive been,8338
in his,8319
the next,8282
for you,8277
and not,8262
while i,8213
back to,8195
and his,8168
had been,8164
i mean,8124
to tell,8120
we were,8100
up to,8079
the rest,8069
up the,8043
at a,8028
has a,8018
dont have,8000
when you,8000
be the,7993
is also,7986
i thought,7977
my mother,7964
and she,7954
this was,7948
thank you,7907
the second,7865
of all,7858
the past,7857
had to,7845
a couple,7828
end of,7823
decided to,7785
when we,7757
right now,7750
but in,7733
are not,7700
their own,7680
that this,7670
such as,7651
not to,7623
know what,7617
that a,7575
me and,7573
look at,7570
and was,7568
the kids,7500
full of,7499
get to,7487
when she,7473
and you,7442
she is,7430
i need,7426
after the,7358
and in,7345
say that,7311
in addition,7294
was not,7293
of those,7277
in fact,7266
sense of,7256
told me,7242
the th,7236
are the,7235
the two,7235
if they,7207
fact that,7204
is what,7196
is to,7165
sort of,7163
it to,7159
they will,7128
what the,7048
new york,7041
you to,7036
then i,7025
a long,7024
it will,6989
i guess,6967
around the,6965
them to,6949
couple of,6942
that has,6919
the book,6888
when it,6888
next to,6874
you need,6874
this time,6867
to give,6866
in and,6834
about it,6828
while the,6787
people who,6783
in your,6765
as they,6743
with her,6732
to this,6722
is something,6721
in her,6718
into a,6695
and other,6677
and for,6657
in our,6657
can see,6624
take a,6623
is going,6606
